sender_code,sender_point_id,recipient_point_id,MIN,MAX
144,592204,190807,6.0,6.0
144,638003,592204,30.0,30.0
36612,834108,302600,3.0,3.0
36612,205504,625200,14.0,14.0
216,47204,302507,19.0,19.0
36612,696102,302600,6.0,6.0
216,302507,290403,36.0,36.0
316,290206,16308,0.0,11.0
26192,273304,773008,0.0,28.0
144,592204,191000,17.0,17.0
31820,895506,302600,69.0,83.0
216,510007,302507,3.0,3.0
31820,255409,808300,14.0,14.0
5556,236606,618300,6.0,6.0
144,723507,592204,331.0,331.0
39684,523505,33409,0.0,28.0
144,840005,592204,3.0,3.0
216,522803,302507,17.0,17.0
19392,970406,962109,0.0,28.0
36612,852407,302600,3.0,3.0
12248,801208,205307,0.0,55.0
216,190609,302507,11.0,11.0
156,253103,647801,0.0,3.0
216,302507,261805,207.0,278.0
2552,525407,782308,17.0,17.0
36612,791608,625200,3.0,3.0
2552,34505,780800,6.0,6.0
36612,248105,302507,11.0,11.0
36612,530405,302600,17.0,17.0
8804,183502,297703,14.0,14.0
216,770103,302507,3.0,3.0
26192,986103,864207,1218.0,1218.0
216,154800,302507,6.0,6.0
144,592204,780800,3.0,3.0
31820,883809,924501,17.0,17.0
36612,826807,302507,3.0,3.0
4928,770902,888305,11.0,22.0
156,30805,243607,14.0,14.0
31820,435501,294404,28.0,28.0
5400,525205,863007,0.0,110.0
2552,255503,782308,61.0,61.0
156,798607,243607,3.0,8.0
26192,814208,864902,154.0,154.0
216,677008,302507,3.0,3.0
26192,767308,770005,220.0,220.0
2552,780800,780800,8.0,8.0
216,302507,805800,551.0,661.0
39684,523505,183606,0.0,193.0
144,194808,592204,242.0,242.0
9124,797002,511508,0.0,14.0
26192,235105,770005,28.0,28.0
26192,641400,770005,28.0,28.0
216,526908,302507,11.0,11.0
216,40101,302507,11.0,11.0
36612,35601,302507,47.0,47.0
156,10905,243607,11.0,61.0
36612,252401,625200,3.0,3.0
31820,932902,770005,41.0,41.0
2552,700007,782308,11.0,11.0
37592,290009,887904,110.0,193.0
36612,511103,302600,116.0,116.0
5556,208201,618300,17.0,17.0
26192,800605,770005,28.0,28.0
216,803307,302507,11.0,11.0
156,840005,243607,30.0,30.0
7348,841402,864902,452.0,452.0
8804,648400,183502,3.0,3.0
39840,76404,863007,207.0,207.0
1168,213905,594206,152.0,152.0
216,211204,302600,55.0,55.0
216,843408,302507,14.0,14.0
216,230703,302507,17.0,17.0
36612,225207,302600,14.0,14.0
8804,790408,183502,3.0,3.0
216,548004,302507,8.0,8.0
156,262704,243607,3.0,3.0
216,179102,302507,6.0,6.0
39684,543301,625107,0.0,28.0
2552,194403,780800,41.0,41.0
216,302507,280505,11.0,11.0
26192,530000,864207,14.0,14.0
31820,304606,585003,3.0,3.0
8804,610402,183502,11.0,11.0
8804,183502,231000,25.0,25.0
120,865106,864705,83.0,551.0
36580,935703,238601,0.0,6.0
2552,781409,620207,47.0,47.0
2912,76404,852708,827.0,827.0
36612,592505,302600,50.0,50.0
39684,511404,625107,11.0,11.0
120,770005,193307,41.0,110.0
36612,709406,302600,3.0,3.0
36612,234301,302600,44.0,44.0
36612,527402,625200,55.0,55.0
7364,840607,532203,0.0,28.0
216,780209,302507,30.0,30.0
26192,890108,864207,8.0,8.0
216,302507,863505,375.0,375.0
156,32508,243607,52.0,52.0
26192,269601,864207,14.0,14.0
144,592204,310607,19.0,19.0
36612,527402,302600,11.0,11.0
11748,706709,852708,0.0,28.0
216,820001,302507,3.0,3.0
216,302507,183606,3.0,3.0
26192,255409,773008,0.0,28.0
